01-introduction.qmd	fig-notation-demo
04-innovation.qmd	fig-bass-curve
04-innovation.qmd	fig-macro-flow
04-innovation.qmd	fig-successive-generations
06-virality.qmd	fig-scurve-confounds
06-virality.qmd	fig-wom-functions
09-online-environments.qmd	fig-dsmm-eras
09-online-environments.qmd	fig-fgc-ugc
09-online-environments.qmd	fig-honeycomb
11-communication.qmd	fig-shannon-channel
13-clv.qmd	fig-retention-observed
15-influencer-marketing.qmd	fig-comm-system
16-nudges.qmd	fig-nudge-power
18-service.qmd	fig-gaps
18-service.qmd	fig-ihip
18-service.qmd	fig-spc
18-service.qmd	tbl-gaps
19-health.qmd	fig-agency
19-health.qmd	fig-diffusion
19-health.qmd	tbl-push-pull
20-gaming.qmd	fig-reward-schedule
20-gaming.qmd	tbl-did-results
26-analytical-models.qmd	fig-adbudg-fit
26-analytical-models.qmd	fig-agency-timing
26-analytical-models.qmd	fig-allocation
26-analytical-models.qmd	fig-bass-diffusion
26-analytical-models.qmd	fig-channel-structures
26-analytical-models.qmd	fig-model-building
26-analytical-models.qmd	fig-response-io
27-empirical-models.qmd	fig-attribution-taxonomy
27-empirical-models.qmd	fig-basket-pie
27-empirical-models.qmd	fig-basket-sankey
27-empirical-models.qmd	fig-campaign-cohorts
27-empirical-models.qmd	fig-funnel-chart
27-empirical-models.qmd	fig-funnel-journeys
27-empirical-models.qmd	fig-geo-broadsheets
27-empirical-models.qmd	fig-geo-map
27-empirical-models.qmd	fig-geo-tabloids
27-empirical-models.qmd	fig-lcg-advanced
27-empirical-models.qmd	fig-lcg-basic
27-empirical-models.qmd	fig-lcg-clv-cac
27-empirical-models.qmd	fig-lcg-explore
27-empirical-models.qmd	fig-retention-cycle
27-empirical-models.qmd	fig-retention-triangle
27-empirical-models.qmd	fig-rfm-bar
27-empirical-models.qmd	fig-rfm-heatmap
27-empirical-models.qmd	fig-rfm-hist
27-empirical-models.qmd	fig-rfm-orders
27-empirical-models.qmd	fig-rfm-scatter
27-empirical-models.qmd	fig-sequence-analysis
27-empirical-models.qmd	fig-sequence-sankey
37-strategic-dynamic-models.qmd	fig-event-study
38-consumer-behavior-seminar.qmd	fig-experiential-advantage
39-analytical-modeling-seminar.qmd	fig-ams-reservation
39-analytical-modeling-seminar.qmd	tbl-ams-midtail
40-marketing-strategy-seminar.qmd	tbl-strategy-tca
41-scientific-writing.qmd	fig-sw-fog
45-case-branding-instructor.qmd	fig-case-template
49-text-as-data.qmd	fig-llm-extraction
49-text-as-data.qmd	fig-tad-pipeline
51-platforms.qmd	fig-two-sided
55-clickstream.qmd	fig-click-clusterplot
55-clickstream.qmd	fig-click-statedist
55-clickstream.qmd	tbl-click-clusters
55-clickstream.qmd	tbl-click-funnel
55-clickstream.qmd	tbl-click-loghead
55-clickstream.qmd	tbl-click-removal
a1-others.qmd	fig-citability-hmm
a1-others.qmd	fig-fragmentation-attenuation
a1-others.qmd	fig-mktpower-mediation
a1-others.qmd	tbl-fragmentation
