"clientId","2012-10-01","2013-01-01","2013-04-01"
125,"2012-09 : 0-30 days : 1 purch","2012-09 : 0-30 days : 3 purch","2012-09 : 91-120 days : 3 purch"
165,"2012-09 : 0-30 days : 1 purch","2012-09 : 31-60 days : 2 purch","2012-09 : 121-180 days : 2 purch"
189,"2012-09 : 0-30 days : 1 purch","2012-09 : 91-120 days : 1 purch","2012-09 : >180 days : 1 purch"
275,"2012-09 : 0-30 days : 1 purch","2012-09 : 31-60 days : 2 purch","2012-09 : 31-60 days : 5 purch"
309,"2012-09 : 0-30 days : 1 purch","2012-09 : 121-180 days : 1 purch","2012-09 : >180 days : 1 purch"
316,"2012-09 : 0-30 days : 1 purch","2012-09 : 0-30 days : 2 purch","2012-09 : 0-30 days : 3 purch"
389,"2012-09 : 0-30 days : 1 purch","2012-09 : 31-60 days : 2 purch","2012-09 : 0-30 days : 3 purch"
392,"2012-09 : 0-30 days : 1 purch","2012-09 : 91-120 days : 1 purch","2012-09 : 0-30 days : 3 purch"
407,"2012-09 : 0-30 days : 1 purch","2012-09 : 91-120 days : 1 purch","2012-09 : 61-90 days : 2 purch"
415,"2012-09 : 0-30 days : 3 purch","2012-09 : 31-60 days : 5 purch","2012-09 : 31-60 days : >5 purch"
422,"2012-09 : 0-30 days : 2 purch","2012-09 : 91-120 days : 2 purch","2012-09 : 0-30 days : 3 purch"
431,"2012-09 : 0-30 days : 1 purch","2012-09 : 91-120 days : 1 purch","2012-09 : 0-30 days : 2 purch"
439,"2012-09 : 0-30 days : 2 purch","2012-09 : 91-120 days : 2 purch","2012-09 : >180 days : 2 purch"
446,"2012-09 : 0-30 days : 1 purch","2012-09 : 0-30 days : 3 purch","2012-09 : 91-120 days : 3 purch"
497,"2012-09 : 0-30 days : 1 purch","2012-09 : 0-30 days : 3 purch","2012-09 : 91-120 days : 3 purch"
506,"2012-09 : 0-30 days : 1 purch","2012-09 : 91-120 days : 1 purch","2012-09 : 61-90 days : 2 purch"
540,"2012-09 : 0-30 days : 1 purch","2012-09 : 91-120 days : 1 purch","2012-09 : >180 days : 1 purch"
567,"2012-09 : 0-30 days : 2 purch","2012-09 : 0-30 days : 3 purch","2012-09 : 91-120 days : 3 purch"
644,"2012-09 : 0-30 days : 1 purch","2012-09 : 61-90 days : 2 purch","2012-09 : 0-30 days : 3 purch"
649,"2012-09 : 0-30 days : 2 purch","2012-09 : 91-120 days : 2 purch","2012-09 : 31-60 days : 3 purch"
724,"2012-09 : 0-30 days : 1 purch","2012-09 : 31-60 days : 3 purch","2012-09 : 121-180 days : 3 purch"
830,"2012-09 : 0-30 days : 1 purch","2012-09 : 0-30 days : 2 purch","2012-09 : 61-90 days : 3 purch"
842,"2012-09 : 0-30 days : 1 purch","2012-09 : 31-60 days : 3 purch","2012-09 : 121-180 days : 3 purch"
846,"2012-09 : 0-30 days : 1 purch","2012-09 : 91-120 days : 1 purch","2012-09 : 31-60 days : 3 purch"
891,"2012-09 : 0-30 days : 1 purch","2012-09 : 91-120 days : 1 purch","2012-09 : 31-60 days : 3 purch"
894,"2012-09 : 0-30 days : 2 purch","2012-09 : 91-120 days : 2 purch","2012-09 : 0-30 days : 3 purch"
897,"2012-09 : 0-30 days : 1 purch","2012-09 : 91-120 days : 1 purch","2012-09 : 31-60 days : 2 purch"
955,"2012-09 : 0-30 days : 2 purch","2012-09 : 31-60 days : 3 purch","2012-09 : 121-180 days : 3 purch"
989,"2012-09 : 0-30 days : 1 purch","2012-09 : 121-180 days : 1 purch","2012-09 : >180 days : 1 purch"
996,"2012-09 : 0-30 days : 1 purch","2012-09 : 31-60 days : 3 purch","2012-09 : 121-180 days : 3 purch"
1074,"2012-09 : 0-30 days : 2 purch","2012-09 : 0-30 days : 3 purch","2012-09 : 91-120 days : 3 purch"
1080,"2012-09 : 0-30 days : 1 purch","2012-09 : 91-120 days : 1 purch","2012-09 : 0-30 days : 2 purch"
1130,"2012-09 : 0-30 days : 1 purch","2012-09 : 91-120 days : 1 purch","2012-09 : >180 days : 1 purch"
1133,"2012-09 : 0-30 days : 1 purch","2012-09 : 31-60 days : 2 purch","2012-09 : 121-180 days : 2 purch"
1148,"2012-09 : 0-30 days : 1 purch","2012-09 : 0-30 days : 2 purch","2012-09 : 61-90 days : 3 purch"
1176,"2012-09 : 0-30 days : 1 purch","2012-09 : 91-120 days : 1 purch","2012-09 : >180 days : 1 purch"
1182,"2012-09 : 0-30 days : 3 purch","2012-09 : 91-120 days : 3 purch","2012-09 : 0-30 days : 4 purch"
1229,"2012-09 : 0-30 days : 1 purch","2012-09 : 91-120 days : 1 purch","2012-09 : >180 days : 1 purch"
1242,"2012-09 : 0-30 days : 1 purch","2012-09 : 0-30 days : 2 purch","2012-09 : 0-30 days : 5 purch"
1290,"2012-09 : 0-30 days : 1 purch","2012-09 : 91-120 days : 2 purch","2012-09 : >180 days : 2 purch"
1328,"2012-09 : 0-30 days : 1 purch","2012-09 : 61-90 days : 2 purch","2012-09 : 121-180 days : 2 purch"
1351,"2012-09 : 0-30 days : 2 purch","2012-09 : 0-30 days : 4 purch","2012-09 : 91-120 days : 4 purch"
1396,"2012-09 : 0-30 days : 1 purch","2012-09 : 0-30 days : 2 purch","2012-09 : 91-120 days : 2 purch"
1434,"2012-09 : 0-30 days : 1 purch","2012-09 : 91-120 days : 1 purch","2012-09 : 31-60 days : 3 purch"
1457,"2012-09 : 0-30 days : 1 purch","2012-09 : 91-120 days : 1 purch","2012-09 : >180 days : 1 purch"
1466,"2012-09 : 0-30 days : 1 purch","2012-09 : 61-90 days : 2 purch","2012-09 : 121-180 days : 2 purch"
